quarter,records,top_keywords
2023Q3,461,综合气候政策（109）；新能源与清洁能源（85）；数字能源、AI与数据中心（80）；气候资金（55）；石油、天然气与化石能源（49）
2023Q4,713,气候资金（159）；综合气候政策（152）；新能源与清洁能源（109）；数字能源、AI与数据中心（101）；联合国气候大会（93）
2024Q1,705,综合气候政策（179）；新能源与清洁能源（156）；数字能源、AI与数据中心（107）；气候资金（86）；干旱与水风险（67）
2024Q2,709,综合气候政策（160）；新能源与清洁能源（135）；数字能源、AI与数据中心（134）；气候资金（112）；干旱与水风险（70）
2024Q3,713,综合气候政策（147）；数字能源、AI与数据中心（137）；新能源与清洁能源（120）；气候资金（119）；干旱与水风险（71）
2024Q4,721,综合气候政策（166）；气候资金（133）；数字能源、AI与数据中心（119）；新能源与清洁能源（116）；石油、天然气与化石能源（75）
2025Q1,703,综合气候政策（153）；新能源与清洁能源（116）；数字能源、AI与数据中心（113）；气候资金（91）；洪水与强降雨（73）
2025Q2,698,综合气候政策（148）；新能源与清洁能源（105）；数字能源、AI与数据中心（99）；气候资金（98）；洪水与强降雨（80）
2025Q3,713,综合气候政策（153）；数字能源、AI与数据中心（114）；气候资金（99）；新能源与清洁能源（84）；野火与森林火灾（77）
2025Q4,721,国际谈判（193）；联合国气候大会（170）；气候资金（149）；数字能源、AI与数据中心（134）；综合气候政策（110）
2026Q1,730,综合气候政策（171）；新能源与清洁能源（142）；数字能源、AI与数据中心（112）；气候资金（96）；洪水与强降雨（76）
2026Q2,719,气候资金（127）；数字能源、AI与数据中心（126）；新能源与清洁能源（114）；综合气候政策（100）；石油、天然气与化石能源（89）
2026Q3,377,数字能源、AI与数据中心（108）；新能源与清洁能源（82）；综合气候政策（58）；石油、天然气与化石能源（48）；洪水与强降雨（45）
