quarter,continent,top_keywords
2021Q3,亚洲,无语料覆盖
2021Q3,北美洲,无语料覆盖
2021Q3,欧洲,无语料覆盖
2021Q3,非洲,无语料覆盖
2021Q3,南美洲,无语料覆盖
2021Q3,大洋洲,无语料覆盖
2021Q3,南极洲,无语料覆盖
2021Q3,全球/未标注,无语料覆盖
2021Q4,亚洲,无语料覆盖
2021Q4,北美洲,无语料覆盖
2021Q4,欧洲,无语料覆盖
2021Q4,非洲,无语料覆盖
2021Q4,南美洲,无语料覆盖
2021Q4,大洋洲,无语料覆盖
2021Q4,南极洲,无语料覆盖
2021Q4,全球/未标注,无语料覆盖
2022Q1,亚洲,无语料覆盖
2022Q1,北美洲,无语料覆盖
2022Q1,欧洲,无语料覆盖
2022Q1,非洲,无语料覆盖
2022Q1,南美洲,无语料覆盖
2022Q1,大洋洲,无语料覆盖
2022Q1,南极洲,无语料覆盖
2022Q1,全球/未标注,无语料覆盖
2022Q2,亚洲,无语料覆盖
2022Q2,北美洲,无语料覆盖
2022Q2,欧洲,无语料覆盖
2022Q2,非洲,无语料覆盖
2022Q2,南美洲,无语料覆盖
2022Q2,大洋洲,无语料覆盖
2022Q2,南极洲,无语料覆盖
2022Q2,全球/未标注,无语料覆盖
2022Q3,亚洲,无语料覆盖
2022Q3,北美洲,无语料覆盖
2022Q3,欧洲,无语料覆盖
2022Q3,非洲,无语料覆盖
2022Q3,南美洲,无语料覆盖
2022Q3,大洋洲,无语料覆盖
2022Q3,南极洲,无语料覆盖
2022Q3,全球/未标注,无语料覆盖
2022Q4,亚洲,无语料覆盖
2022Q4,北美洲,无语料覆盖
2022Q4,欧洲,无语料覆盖
2022Q4,非洲,无语料覆盖
2022Q4,南美洲,无语料覆盖
2022Q4,大洋洲,无语料覆盖
2022Q4,南极洲,无语料覆盖
2022Q4,全球/未标注,无语料覆盖
2023Q1,亚洲,无语料覆盖
2023Q1,北美洲,无语料覆盖
2023Q1,欧洲,无语料覆盖
2023Q1,非洲,无语料覆盖
2023Q1,南美洲,无语料覆盖
2023Q1,大洋洲,无语料覆盖
2023Q1,南极洲,无语料覆盖
2023Q1,全球/未标注,无语料覆盖
2023Q2,亚洲,无语料覆盖
2023Q2,北美洲,无语料覆盖
2023Q2,欧洲,无语料覆盖
2023Q2,非洲,无语料覆盖
2023Q2,南美洲,无语料覆盖
2023Q2,大洋洲,无语料覆盖
2023Q2,南极洲,无语料覆盖
2023Q2,全球/未标注,无语料覆盖
2023Q3,亚洲,综合气候政策(24)；新能源/清洁能源(10)；洪水/强降雨(8)
2023Q3,北美洲,野火/森林火灾(15)；综合气候政策(9)；干旱/水风险(8)
2023Q3,欧洲,数能/AI/数据中心(6)；新能源/清洁能源(6)；石油/天然气/化石能源(5)
2023Q3,非洲,NDC/COP/谈判(20)；数能/AI/数据中心(10)；气候资金(7)
2023Q3,南美洲,新能源/清洁能源(2)；干旱/水风险(1)；气候资金(1)
2023Q3,大洋洲,气候资金(3)；数能/AI/数据中心(2)
2023Q3,南极洲,综合气候政策(1)
2023Q3,全球/未标注,综合气候政策(67)；新能源/清洁能源(60)；数能/AI/数据中心(53)
2023Q4,亚洲,综合气候政策(28)；数能/AI/数据中心(22)；NDC/COP/谈判(18)
2023Q4,北美洲,野火/森林火灾(12)；综合气候政策(10)；新能源/清洁能源(9)
2023Q4,欧洲,气候资金(16)；NDC/COP/谈判(12)；新能源/清洁能源(11)
2023Q4,非洲,气候资金(14)；NDC/COP/谈判(7)；综合气候政策(6)
2023Q4,南美洲,干旱/水风险(13)；新能源/清洁能源(5)；数能/AI/数据中心(2)
2023Q4,大洋洲,气候资金(5)；新能源/清洁能源(4)；综合气候政策(3)
2023Q4,南极洲,数能/AI/数据中心(1)
2023Q4,全球/未标注,气候资金(103)；综合气候政策(100)；NDC/COP/谈判(94)
2024Q1,亚洲,综合气候政策(20)；新能源/清洁能源(15)；数能/AI/数据中心(11)
2024Q1,北美洲,新能源/清洁能源(23)；综合气候政策(18)；野火/森林火灾(11)
2024Q1,欧洲,新能源/清洁能源(12)；综合气候政策(11)；数能/AI/数据中心(10)
2024Q1,非洲,气候资金(12)；数能/AI/数据中心(5)；综合气候政策(5)
2024Q1,南美洲,干旱/水风险(10)；野火/森林火灾(8)；数能/AI/数据中心(5)
2024Q1,大洋洲,新能源/清洁能源(2)；洪水/强降雨(2)；高温/热浪(1)
2024Q1,南极洲,无明确样本
2024Q1,全球/未标注,综合气候政策(125)；新能源/清洁能源(98)；数能/AI/数据中心(70)
2024Q2,亚洲,数能/AI/数据中心(16)；综合气候政策(16)；气候资金(14)
2024Q2,北美洲,野火/森林火灾(24)；综合气候政策(16)；新能源/清洁能源(16)
2024Q2,欧洲,综合气候政策(14)；数能/AI/数据中心(12)；新能源/清洁能源(11)
2024Q2,非洲,气候资金(6)；综合气候政策(5)；碳市场/碳价(5)
2024Q2,南美洲,干旱/水风险(4)；新能源/清洁能源(3)；NDC/COP/谈判(3)
2024Q2,大洋洲,干旱/水风险(4)；数能/AI/数据中心(2)；综合气候政策(2)
2024Q2,南极洲,无明确样本
2024Q2,全球/未标注,综合气候政策(108)；数能/AI/数据中心(91)；新能源/清洁能源(90)
2024Q3,亚洲,综合气候政策(32)；新能源/清洁能源(16)；气候资金(15)
2024Q3,北美洲,野火/森林火灾(26)；综合气候政策(16)；数能/AI/数据中心(12)
2024Q3,欧洲,洪水/强降雨(7)；气候资金(7)；新能源/清洁能源(7)
2024Q3,非洲,干旱/水风险(11)；数能/AI/数据中心(8)；综合气候政策(6)
2024Q3,南美洲,新能源/清洁能源(8)；数能/AI/数据中心(7)；干旱/水风险(5)
2024Q3,大洋洲,石油/天然气/化石能源(6)；数能/AI/数据中心(3)；新能源/清洁能源(1)
2024Q3,南极洲,综合气候政策(1)
2024Q3,全球/未标注,数能/AI/数据中心(89)；气候资金(86)；综合气候政策(85)
2024Q4,亚洲,综合气候政策(39)；数能/AI/数据中心(13)；气候资金(12)
2024Q4,北美洲,综合气候政策(16)；新能源/清洁能源(15)；野火/森林火灾(9)
2024Q4,欧洲,洪水/强降雨(18)；数能/AI/数据中心(16)；石油/天然气/化石能源(8)
2024Q4,非洲,气候资金(11)；数能/AI/数据中心(8)；NDC/COP/谈判(6)
2024Q4,南美洲,干旱/水风险(7)；数能/AI/数据中心(2)；NDC/COP/谈判(2)
2024Q4,大洋洲,气候资金(6)；NDC/COP/谈判(4)；数能/AI/数据中心(2)
2024Q4,南极洲,无明确样本
2024Q4,全球/未标注,综合气候政策(99)；气候资金(93)；新能源/清洁能源(80)
2025Q1,亚洲,综合气候政策(24)；新能源/清洁能源(22)；碳市场/碳价(21)
2025Q1,北美洲,石油/天然气/化石能源(17)；野火/森林火灾(16)；气候资金(15)
2025Q1,欧洲,新能源/清洁能源(12)；综合气候政策(11)；气候资金(10)
2025Q1,非洲,新能源/清洁能源(5)；气候资金(5)；干旱/水风险(4)
2025Q1,南美洲,综合气候政策(4)；NDC/COP/谈判(4)；碳市场/碳价(2)
2025Q1,大洋洲,洪水/强降雨(2)；综合气候政策(1)；野火/森林火灾(1)
2025Q1,南极洲,综合气候政策(1)
2025Q1,全球/未标注,综合气候政策(99)；数能/AI/数据中心(77)；新能源/清洁能源(67)
2025Q2,亚洲,综合气候政策(27)；数能/AI/数据中心(25)；洪水/强降雨(17)
2025Q2,北美洲,新能源/清洁能源(24)；综合气候政策(14)；野火/森林火灾(11)
2025Q2,欧洲,综合气候政策(12)；新能源/清洁能源(8)；干旱/水风险(8)
2025Q2,非洲,NDC/COP/谈判(5)；气候资金(5)；综合气候政策(5)
2025Q2,南美洲,NDC/COP/谈判(6)；石油/天然气/化石能源(2)；干旱/水风险(2)
2025Q2,大洋洲,洪水/强降雨(3)；综合气候政策(3)；干旱/水风险(2)
2025Q2,南极洲,无明确样本
2025Q2,全球/未标注,综合气候政策(85)；气候资金(74)；数能/AI/数据中心(54)
2025Q3,亚洲,综合气候政策(43)；洪水/强降雨(29)；数能/AI/数据中心(15)
2025Q3,北美洲,野火/森林火灾(19)；石油/天然气/化石能源(15)；综合气候政策(14)
2025Q3,欧洲,野火/森林火灾(30)；数能/AI/数据中心(20)；NDC/COP/谈判(11)
2025Q3,非洲,NDC/COP/谈判(20)；气候资金(14)；综合气候政策(8)
2025Q3,南美洲,NDC/COP/谈判(5)；气候资金(5)；数能/AI/数据中心(4)
2025Q3,大洋洲,综合气候政策(6)；NDC/COP/谈判(3)；气候资金(2)
2025Q3,南极洲,无明确样本
2025Q3,全球/未标注,综合气候政策(77)；数能/AI/数据中心(59)；气候资金(58)
2025Q4,亚洲,综合气候政策(27)；NDC/COP/谈判(26)；气候资金(25)
2025Q4,北美洲,数能/AI/数据中心(15)；气候资金(14)；新能源/清洁能源(12)
2025Q4,欧洲,NDC/COP/谈判(16)；碳市场/碳价(15)；综合气候政策(10)
2025Q4,非洲,NDC/COP/谈判(11)；气候资金(9)；数能/AI/数据中心(4)
2025Q4,南美洲,NDC/COP/谈判(17)；石油/天然气/化石能源(5)；数能/AI/数据中心(4)
2025Q4,大洋洲,NDC/COP/谈判(3)；洪水/强降雨(2)；数能/AI/数据中心(2)
2025Q4,南极洲,综合气候政策(1)
2025Q4,全球/未标注,NDC/COP/谈判(165)；气候资金(89)；数能/AI/数据中心(80)
2026Q1,亚洲,综合气候政策(47)；新能源/清洁能源(30)；NDC/COP/谈判(19)
2026Q1,北美洲,综合气候政策(24)；新能源/清洁能源(18)；干旱/水风险(11)
2026Q1,欧洲,新能源/清洁能源(12)；综合气候政策(10)；数能/AI/数据中心(9)
2026Q1,非洲,气候资金(11)；数能/AI/数据中心(9)；干旱/水风险(7)
2026Q1,南美洲,石油/天然气/化石能源(2)；洪水/强降雨(2)；野火/森林火灾(2)
2026Q1,大洋洲,NDC/COP/谈判(5)；气候资金(2)；碳市场/碳价(2)
2026Q1,南极洲,无明确样本
2026Q1,全球/未标注,综合气候政策(87)；新能源/清洁能源(77)；数能/AI/数据中心(69)
2026Q2,亚洲,NDC/COP/谈判(26)；气候资金(22)；数能/AI/数据中心(20)
2026Q2,北美洲,数能/AI/数据中心(20)；野火/森林火灾(20)；新能源/清洁能源(16)
2026Q2,欧洲,碳市场/碳价(15)；综合气候政策(11)；新能源/清洁能源(10)
2026Q2,非洲,气候资金(9)；数能/AI/数据中心(9)；NDC/COP/谈判(8)
2026Q2,南美洲,碳市场/碳价(4)；石油/天然气/化石能源(4)；数能/AI/数据中心(2)
2026Q2,大洋洲,新能源/清洁能源(4)；气候资金(2)；储能/电池/电网(1)
2026Q2,南极洲,综合气候政策(1)
2026Q2,全球/未标注,气候资金(81)；NDC/COP/谈判(72)；数能/AI/数据中心(68)
2026Q3,亚洲,新能源/清洁能源(29)；数能/AI/数据中心(18)；洪水/强降雨(14)
2026Q3,北美洲,数能/AI/数据中心(14)；新能源/清洁能源(10)；野火/森林火灾(9)
2026Q3,欧洲,数能/AI/数据中心(29)；野火/森林火灾(21)；高温/热浪(12)
2026Q3,非洲,数能/AI/数据中心(8)；新能源/清洁能源(4)；气候资金(4)
2026Q3,南美洲,数能/AI/数据中心(6)；综合气候政策(4)；NDC/COP/谈判(2)
2026Q3,大洋洲,综合气候政策(4)；新能源/清洁能源(3)；气候资金(3)
2026Q3,南极洲,新能源/清洁能源(1)
2026Q3,全球/未标注,数能/AI/数据中心(39)；综合气候政策(33)；新能源/清洁能源(31)
